Date,Title,Media Type,URL
2020-01-01,Betelgeuse Imagined,image,https://apod.nasa.gov/apod/image/2001/BetelgeuseImagined_EsoCalcada_960.jpg
2020-01-02,The Fainting of Betelgeuse,image,https://apod.nasa.gov/apod/image/2001/OrionTrees123019Westlake1024.jpg
2020-01-03,Quadrantids over the Great Wall,image,https://apod.nasa.gov/apod/image/2001/QuadrantidsChineseGreatWall_1067.jpg
2020-01-04,Aurora Slathers Up the Sky,image,https://apod.nasa.gov/apod/image/2001/aurora_iss052e007857_1024.jpg
2020-01-05,A Starry Night of Iceland,image,https://apod.nasa.gov/apod/image/2001/aurora_vetter_1080.jpg
2020-01-06,Tumultuous Clouds of Jupiter,image,https://apod.nasa.gov/apod/image/2001/JupiterClouds_JunoGill_960.jpg
2020-01-07,IC 405: The Flaming Star Nebula,image,https://apod.nasa.gov/apod/image/2001/IC405hp_ColesHelm_960.jpg
2020-01-08,Galaxies in the River,image,https://apod.nasa.gov/apod/image/2001/NGC1532-final3_1024r.jpg
2020-01-09,Perihelion to Aphelion,image,https://apod.nasa.gov/apod/image/2001/peri-api-sun1024.jpg
2020-01-10,Nacreous Clouds over Sweden,image,https://apod.nasa.gov/apod/image/2001/NacreousPMHeden.jpg
2020-01-01,Betelgeuse Imagined,image,https://apod.nasa.gov/apod/image/2001/BetelgeuseImagined_EsoCalcada_960.jpg
2020-01-02,The Fainting of Betelgeuse,image,https://apod.nasa.gov/apod/image/2001/OrionTrees123019Westlake1024.jpg
2020-01-03,Quadrantids over the Great Wall,image,https://apod.nasa.gov/apod/image/2001/QuadrantidsChineseGreatWall_1067.jpg
2020-01-04,Aurora Slathers Up the Sky,image,https://apod.nasa.gov/apod/image/2001/aurora_iss052e007857_1024.jpg
2020-01-05,A Starry Night of Iceland,image,https://apod.nasa.gov/apod/image/2001/aurora_vetter_1080.jpg
2020-01-06,Tumultuous Clouds of Jupiter,image,https://apod.nasa.gov/apod/image/2001/JupiterClouds_JunoGill_960.jpg
2020-01-07,IC 405: The Flaming Star Nebula,image,https://apod.nasa.gov/apod/image/2001/IC405hp_ColesHelm_960.jpg
2020-01-08,Galaxies in the River,image,https://apod.nasa.gov/apod/image/2001/NGC1532-final3_1024r.jpg
2020-01-09,Perihelion to Aphelion,image,https://apod.nasa.gov/apod/image/2001/peri-api-sun1024.jpg
2020-01-10,Nacreous Clouds over Sweden,image,https://apod.nasa.gov/apod/image/2001/NacreousPMHeden.jpg
2025-03-01,Blue Ghost to the Moon,image,https://apod.nasa.gov/apod/image/2503/BlueGhost_lunar1067.jpg
2024-06-01,Stereo Helene,image,https://apod.nasa.gov/apod/image/2406/N00172886_92_beltramini.jpg
2024-06-02,Rotating Moon from LRO,video,https://www.youtube.com/embed/sNUNB6CMnE8?rel=0
2024-06-03,NGC 2403 in Camelopardalis,image,https://apod.nasa.gov/apod/image/2405/NGC2403-LRGB+Ha+Oiii-v25-f1024.jpg
2024-06-04,Comet Pons-Brooks Develops Opposing Tails,image,https://apod.nasa.gov/apod/image/2406/Comet12P_Ligustri_960.jpg
2024-06-05,Shadow of a Martian Robot,image,https://apod.nasa.gov/apod/image/2406/NeretvaVallis_PerseveranceNevT_960.jpg
2024-06-06,NGC 4565: Galaxy on Edge,image,https://apod.nasa.gov/apod/image/2406/278_lorand_fenyes_ngc4565_1024.jpg
2024-06-07,SH2-308: The Dolphin Head Nebula,image,https://apod.nasa.gov/apod/image/2406/DolphinNebulaHOO_1024.jpg
2024-06-08,Pandora's Cluster of Galaxies,image,https://apod.nasa.gov/apod/image/2406/abell2744_jwst1024.png
2024-06-09,How to Identify that Light in the Sky,image,https://apod.nasa.gov/apod/image/2406/astronomy101_hk_960.jpg
2024-06-10,Sh2-132: The Lion Nebula,image,https://apod.nasa.gov/apod/image/2406/LionNeb_Badr_960.jpg
2024-06-11,Colorful Stars and Clouds near Rho Ophiuchi,image,https://apod.nasa.gov/apod/image/2406/RhoAntares_Stocks_1080.jpg
2024-06-12,Aurora over Karkonosze Mountains,image,https://apod.nasa.gov/apod/image/2406/AuroraKarkonosze_Koszela_1080.jpg
2024-06-13,Messier 66 Close Up,image,https://apod.nasa.gov/apod/image/2406/heic1006a_M66_1024.jpg
2024-06-14,RCW 85,image,https://apod.nasa.gov/apod/image/2406/HaLRGB+v2Pugh1100c.jpg
2024-06-15,Prominences and Filaments on the Active Sun,image,https://apod.nasa.gov/apod/image/2406/Halpha_sondergaard1024.jpg
2024-06-16,Animation: Black Hole Destroys Star,video,https://www.youtube.com/embed/ubBzcSD8G8k?rel=0
2024-06-17,Ou4: The Giant Squid Nebula,image,https://apod.nasa.gov/apod/image/2406/SquidOu4_Linde_960.jpg
2024-06-18,Gigantic Jets over Himalayan Mountains,image,https://apod.nasa.gov/apod/image/2406/GiganticJets_Xuanhua_960.jpg
2024-06-19,NGC 6188: Dragons of Ara,image,https://apod.nasa.gov/apod/image/2406/AraDragons_Taylor_960.jpg
2024-06-20,Sandy and the Moon Halo,image,https://apod.nasa.gov/apod/image/2406/MoonHalo_pace.jpg
2024-06-21,Hubble's NGC 1546,image,https://apod.nasa.gov/apod/image/2406/NGC1546compassHST1024.jpg
2024-06-22,Lynds Dark Nebula 1251,image,https://apod.nasa.gov/apod/image/2406/LDN1251_1098c.png
2024-06-23,The Colors of Saturn from Cassini,image,https://apod.nasa.gov/apod/image/2406/SaturnColors_CassiniSchmidt_960.jpg
2024-06-24,JADES-GS-z14-0: A New Farthest Object,image,https://apod.nasa.gov/apod/image/2406/MostDistantGalaxy_Webb_960.jpg
2024-06-25,The Dark Doodad Nebula,image,https://apod.nasa.gov/apod/image/2406/Doodad_PughSung_1080.jpg
2024-06-26,"Timelapse: Aurora, SAR, and the Milky Way",video,https://www.youtube.com/embed/fisAZYNwDgk?rel=0
2024-06-27,Protostellar Outflows in Serpens,image,https://apod.nasa.gov/apod/image/2406/STScI-SerpNorth1024.png
2024-06-28,Comet 13P/Olbers,image,https://apod.nasa.gov/apod/image/2406/13P_Olbers_2024_06_24_215434PDT_DEBartlett1024.jpg
2024-06-29,A Solstice Moon,image,https://apod.nasa.gov/apod/image/2406/SolsMoon2024c1024.jpg
2024-06-30,Earthrise: A Video Reconstruction,video,https://www.youtube.com/embed/1R5QqhPq1Ik?rel=0
2024-07-01,Time Spiral,image,https://apod.nasa.gov/apod/image/2407/TimeSpiral_Budassi_960.jpg
2024-07-02,NGC 602: Oyster Star Cluster,image,https://apod.nasa.gov/apod/image/2407/Ngc602_Hubble_960.jpg
2024-07-03,M83: Star Streams and a Thousand Rubies,image,https://apod.nasa.gov/apod/image/2407/DeepM83ThousandRubyGalaxy1024.jpg
2024-07-04,A Beautiful Trifid,image,https://apod.nasa.gov/apod/image/2407/TrifidrecortesRGB1024.jpg
2024-07-05,Mount Etna Milky Way,image,https://apod.nasa.gov/apod/image/2407/GianniTumino_Etna&MW_14mm_JPG_LOGO__1024pix.jpg
2024-07-06,NGC 7789: Caroline's Rose,image,https://apod.nasa.gov/apod/image/2407/NGC7789_difusco1024c.jpg
2024-07-07,Iridescent Clouds over Sweden,image,https://apod.nasa.gov/apod/image/2407/IridescentClouds_Strand_960.jpg
2024-07-08,Exoplanet Zoo: Other Stars,image,https://apod.nasa.gov/apod/image/2407/ExoplanetZoo_Vargic_1080.jpg
2024-07-09,Noctilucent Clouds over Florida,image,https://apod.nasa.gov/apod/image/2407/NoctilucentFlorida_Pouquet_960.jpg
2024-07-10,A Sagittarius Triplet,image,https://apod.nasa.gov/apod/image/2407/sagittariusTri1024.jpg
2024-07-11,Globular Cluster Omega Centauri,image,https://apod.nasa.gov/apod/image/2407/NGC5139_Stein_a1024.jpg
2024-07-12,Jones-Emberson 1,image,https://apod.nasa.gov/apod/image/2407/PK164_vdef3_1024.jpg
2024-07-13,Solar System Family Portrait,image,https://apod.nasa.gov/apod/image/2407/ssportrait_vg1.jpg
2024-07-14,Meteor Misses Galaxy,image,https://apod.nasa.gov/apod/image/2407/M33Meteor_Chokshi_960.jpg
2024-07-15,The Tadpole Galaxy from Hubble,image,https://apod.nasa.gov/apod/image/2407/TadpoleGalaxy_HubblePathak_960.jpg
2024-07-16,Cometary Globules,image,https://apod.nasa.gov/apod/image/2407/CometaryGlobs_Pugh_1080.jpg
2024-07-17,Villarrica Volcano Against the Sky,video,https://www.youtube.com/embed/aX4ozspTPQY?rel=0
2024-07-18,Messier 24: Sagittarius Star Cloud,image,https://apod.nasa.gov/apod/image/2407/M24-HaLRGB-RC51_1024.jpg
2024-07-19,Anticrepuscular Rays at the Planet Festival,image,https://apod.nasa.gov/apod/image/2407/2024-07-11Pavel_1024p.jpg
2024-07-20,Apollo 11 Landing Panorama,image,https://apod.nasa.gov/apod/image/2407/a11pan1040226lftsm600.jpg
2024-07-21,King of Wings Hoodoo under the Milky Way,image,https://apod.nasa.gov/apod/image/2407/KingOfWings_Pinkston_960.jpg
2024-07-22,Chamaeleon Dark Nebulas,image,https://apod.nasa.gov/apod/image/2407/VeeChamaeleon_Lee_960.jpg
2024-07-23,The Crab Nebula from Visible to X-Ray,image,https://apod.nasa.gov/apod/image/2407/Crab_MultiChandra_960.jpg
2024-07-24,Exaggerated Moon,image,https://apod.nasa.gov/apod/image/2407/ExaggeratedMoon_Ibatulin_960.jpg
2024-07-25,NGC 7023: The Iris Nebula,image,https://apod.nasa.gov/apod/image/2407/NGC7023_LRGB_fin_sig1024.jpg
2024-07-26,Facing NGC 6946,image,https://apod.nasa.gov/apod/image/2407/NGC6946_verB1024c.jpg
2024-07-27,Saturn at the Moon's Edge,image,https://apod.nasa.gov/apod/image/2407/MoonSaturnOcc_Xu20240725_1024.jpg
2024-07-28,Sun Dance,video,https://www.youtube.com/embed/hQFEHH5E69s?rel=0
2024-07-29,Milky Way over Uluru,image,https://apod.nasa.gov/apod/image/2407/UluruMilkyWay_Inwood_960.jpg
2024-07-30,Arp 142: Interacting Galaxies from Webb,image,https://apod.nasa.gov/apod/image/2407/Arp142_Webb_960.jpg
2024-07-31,Leopard Spots on Martian Rocks,image,https://apod.nasa.gov/apod/image/2407/LeopardSpots_Perseverance_960.jpg
2024-08-01,Comet Olbers over Kunetice Castle,image,https://apod.nasa.gov/apod/image/2408/2024_07_28_Olbers_Kunka_Kunetice_1024px.jpg
2024-08-02,Mars Passing By,image,https://apod.nasa.gov/apod/image/2408/2024MaUrM45_1024.jpg
2024-08-03,Glory and Fog Bow,image,https://apod.nasa.gov/apod/image/2408/GloryFog_label.png
2024-08-04,Gaia: Here Comes the Sun,video,https://www.youtube.com/embed/XORui0wFKnE?rel=0
2024-08-05,Milky Way Over Tunisia,image,https://apod.nasa.gov/apod/image/2408/LarsMilkyWay_Larnaout_960.jpg
2024-08-06,Storm Cloud Over Texas,image,https://apod.nasa.gov/apod/image/2408/StormCloud_Rowe_960.jpg
2024-08-07,Milky Way Behind Three Merlons,image,https://apod.nasa.gov/apod/image/2408/DolomitesSky_Lioce_960.jpg
2024-08-08,Periodic Comet Swift-Tuttle,image,https://apod.nasa.gov/apod/image/2408/Rhemann799_109P_24_11_92_1100px.jpg
2024-08-09,A Perseid Below,image,https://apod.nasa.gov/apod/image/2408/perseid_iss_4256_1024c.jpg
2024-08-10,"The Light, Dark, and Dusty Trifid",image,https://apod.nasa.gov/apod/image/2408/M20OriginalLRGBHaO3S2_1024x735.jpg
2024-08-11,Animation: Perseid Meteor Shower,video,https://www.meteorshowers.org/view/perseids
2024-08-12,Perseid Meteors over Stonehenge,image,https://apod.nasa.gov/apod/image/2408/PerseidsStonehenge_Dury_960.jpg
2024-08-13,Giant Jet from the International Space Station,image,https://apod.nasa.gov/apod/image/2408/JetIss_Schmauss_960.jpg
2024-08-14,Meteors and Aurora over Germany,image,https://apod.nasa.gov/apod/image/2408/AuroraPerseids_Anders_1080.jpg
2024-08-15,Late Night Vallentuna,image,https://apod.nasa.gov/apod/image/2408/PerseidM45Aurora_Heden1024.jpg
2024-08-16,Meteor Borealis,image,https://apod.nasa.gov/apod/image/2408/JZ8_3744Dain_1024c.jpg
2024-08-17,Sky Full of Arcs,image,https://apod.nasa.gov/apod/image/2408/RocketGannaway_1100c.jpg
2024-08-18,A Solar Prominence Eruption from SDO,video,https://www.youtube.com/embed/PBL1RBj-P1g?rel=0
2024-08-19,IC 5146: The Cocoon Nebula,image,https://apod.nasa.gov/apod/image/2408/Cocoon_Ventura_960.jpg
2024-08-20,Supermoon Beyond the Temple of Poseidon,image,https://apod.nasa.gov/apod/image/2408/SupermoonPoseidon_Maragos_960.jpg
2024-08-21,Fermi's 12-year All-Sky Gamma-ray Map,image,https://apod.nasa.gov/apod/image/2408/12YearMap_Fermi_1080.jpg
2024-08-22,The Dark Tower in Scorpius,image,https://apod.nasa.gov/apod/image/2408/DarkTowerCDK700-Selby1024.jpg
